OBJECT_NAME,OBJECT_ID,EPOCH,INCLINATION,ECCENTRICITY,MEAN_MOTION,Altitude_KM,Orbit_Zone,Collision_Risk_Score
IRIDIUM 33 DEB,1997-051AAE,2026-07-06T20:15:38.398752,86.4061,0.03948997,13.62154182,1027.87,LEO (Low Earth Orbit),0.0
IRIDIUM 33 DEB,1997-051AAJ,2026-07-10T23:37:39.220608,85.9579,0.005435,14.61572411,688.1,LEO (Low Earth Orbit),51.49
IRIDIUM 33 DEB,1997-051AAK,2026-07-10T07:13:58.302336,86.3763,0.00082578,14.55895728,706.46,LEO (Low Earth Orbit),48.55
IRIDIUM 33 DEB,1997-051AAN,2026-07-04T05:16:51.041280,86.3788,0.0165466,14.25510702,806.78,LEO (Low Earth Orbit),32.81
IRIDIUM 33 DEB,1997-051ABJ,2026-07-09T23:06:19.254240,86.3457,0.00013844,15.14735223,521.78,LEO (Low Earth Orbit),79.03
IRIDIUM 33 DEB,1997-051ABL,2026-07-10T03:09:08.253792,86.3842,0.00097042,14.45811725,739.36,LEO (Low Earth Orbit),43.33
IRIDIUM 33 DEB,1997-051ABN,2026-07-09T01:06:50.254272,86.2739,0.01981442,14.397187,759.43,LEO (Low Earth Orbit),40.17
IRIDIUM 33 DEB,1997-051ABR,2026-07-02T13:11:17.229408,86.2619,0.0039247,14.4317354,748.03,LEO (Low Earth Orbit),41.96
IRIDIUM 33 DEB,1997-051ABX,2026-07-09T09:53:04.458624,86.3325,0.00174723,14.61729049,687.6,LEO (Low Earth Orbit),51.57
IRIDIUM 33 DEB,1997-051ACD,2026-06-11T11:54:57.932640,86.3141,0.00026668,15.10943599,533.32,LEO (Low Earth Orbit),77.06
IRIDIUM 33 DEB,1997-051ACE,2026-07-11T02:08:54.235968,86.3876,0.0011331,14.51571595,720.52,LEO (Low Earth Orbit),46.31
IRIDIUM 33 DEB,1997-051ACG,2026-07-06T18:17:44.571552,86.3002,0.00859716,14.48584053,730.28,LEO (Low Earth Orbit),44.77
IRIDIUM 33 DEB,1997-051ACM,2026-07-04T02:23:46.240800,86.3189,0.0020231,15.13879505,524.38,LEO (Low Earth Orbit),78.58
